expiry,d3,status,error,data_source,gate,win,realized_net_pnl_inr,es95_inr_proxy,es99_inr_proxy
2024-07-04,2024-07-01,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-07-11,2024-07-08,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-07-18,2024-07-12,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-07-25,2024-07-22,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-08-01,2024-07-29,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-08-08,2024-08-05,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-08-14,2024-08-09,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-08-22,2024-08-19,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-08-29,2024-08-26,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-09-05,2024-09-02,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-09-12,2024-09-09,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-09-19,2024-09-16,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-09-26,2024-09-23,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-10-03,2024-09-27,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-10-10,2024-10-07,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-10-17,2024-10-14,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-10-24,2024-10-21,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-10-31,2024-10-28,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-11-07,2024-11-04,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-11-14,2024-11-11,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-11-21,2024-11-14,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-11-28,2024-11-25,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-12-05,2024-12-02,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-12-12,2024-12-09,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-12-19,2024-12-16,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2024-12-26,2024-12-20,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-01-02,2024-12-30,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-01-09,2025-01-06,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-01-16,2025-01-13,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-01-23,2025-01-20,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-01-30,2025-01-27,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-02-06,2025-02-03,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-02-13,2025-02-10,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-02-20,2025-02-17,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-02-27,2025-02-21,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-03-06,2025-03-03,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-03-13,2025-03-10,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-03-20,2025-03-17,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-03-27,2025-03-24,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-04-03,2025-03-28,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-04-09,2025-04-04,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-04-17,2025-04-11,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-04-24,2025-04-21,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-04-30,2025-04-25,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-05-08,2025-05-05,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
2025-05-15,2025-05-12,SKIP,D3 or expiry missing from NIFTY trading calendar,thetrademarkk/india-index-options-1m,,,,,
